"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
"MA010120220805434674","프로포즈","","R1","예술·스포츠","R104","유원지·오락","R10407","노래방","R91223","노래 연습장 운영업","51","강원특별자치도","51130","원주시","51130590","단계동","5113011000","단계동","5113011000108420004","1","대지",842,4,"강원특별자치도 원주시 단계동 842-4","511304457533","강원특별자치도 원주시 장미공원길",22,,"4213011000108420004022119","","강원특별자치도 원주시 장미공원길 22","220938","26436","","1","",127.932850374019,37.3472140135325
"MA010120220805435191","투나잇","","I2","음식","I211","주점","I21104","요리 주점","I56219","기타 주점업","51","강원특별자치도","51150","강릉시","51150571","포남1동","5115011100","포남동","5115011100110050364","1","대지",1005,364,"강원특별자치도 강릉시 포남동 1005-364","511504460116","강원특별자치도 강릉시 경강로2234번길",7,,"4215011100110050364010273","","강원특별자치도 강릉시 경강로2234번길 7","210956","25547","","","",128.908072979412,37.7630612517403
"MA010120220805435032","샹그릴라펜션","","I1","숙박","I101","일반 숙박","I10103","펜션","I55109","기타 일반 및 생활 숙박시설 운영업","51","강원특별자치도","51770","정선군","51770320","남면","5177032024","남면","5177032024104670015","1","대지",467,15,"강원특별자치도 정선군 남면 낙동리 467-15","517703229005","강원특별자치도 정선군 남면 광락로",286,,"4277032024104670015000001","","강원특별자치도 정선군 남면 광락로 286","233831","26143","","","",128.696382505407,37.3144200854697
"MA010120220805438390","써니골프아카데미","","R1","예술·스포츠","R103","스포츠 서비스","R10311","골프 연습장","R91136","골프 연습장 운영업","51","강원특별자치도","51130","원주시","51130620","태장2동","5113011200","태장동","5113011200110380003","1","대지",1038,3,"강원특별자치도 원주시 태장동 1038-3","511303219059","강원특별자치도 원주시 현충로",282,,"4213011200110370001010617","","강원특별자치도 원주시 현충로 282","220961","26318","","","",127.949443900592,37.3785268224685
"MA010120220805437625","칠성유통","","G2","소매","G221","기타 상품 소매","G22199","그 외 기타 상품 전문 소매업","G47859","그 외 기타 분류 안된 상품 전문 소매업","51","강원특별자치도","51790","화천군","51790330","상서면","5179033028","상서면","5179033028110480008","1","대지",1048,8,"강원특별자치도 화천군 상서면 산양리 1048-8","517903013022","강원특별자치도 화천군 상서면 영서로",7822,,"4279033028110480008000001","","강원특별자치도 화천군 상서면 영서로 7822","209815","24101","","","",127.659074033929,38.2144719299167
"MA010120220805438136","아리랑산촌식당","","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","51","강원특별자치도","51770","정선군","51770259","신동읍","5177025924","신동읍","5177025924101680003","1","대지",168,3,"강원특별자치도 정선군 신동읍 방제리 168-3","517704487108","강원특별자치도 정선군 신동읍 매화동길",164,,"4277025924101680000001575","","강원특별자치도 정선군 신동읍 매화동길 164","233823","26139","","","",128.702376344828,37.2322218716112
"MA010120220805437717","퀸룸클럽","","I2","음식","I211","주점","I21101","일반 유흥 주점","I56211","일반 유흥 주점업","51","강원특별자치도","51820","고성군","51820253","거진읍","5182025321","거진읍","5182025321102650033","1","대지",265,33,"강원특별자치도 고성군 거진읍 거진리 265-33","518204502026","강원특별자치도 고성군 거진읍 거진길",50,,"4282025321102650033018348","채소과일할인마트","강원특별자치도 고성군 거진읍 거진길 50","219901","24717","","","",128.455651336489,38.4480514576163
"MA010120220805437909","푸라닭춘천","","I2","음식","I210","기타 간이","I21006","치킨","I56193","치킨 전문점","51","강원특별자치도","51110","춘천시","51110660","퇴계동","5111012300","퇴계동","5111012300111240000","1","대지",1124,,"강원특별자치도 춘천시 퇴계동 1124","511104454853","강원특별자치도 춘천시 퇴계로145번길",7,13,"4211012300111240000000001","","강원특별자치도 춘천시 퇴계로145번길 7-13","200966","24380","","","",127.734900813328,37.8604110193812
"MA010120220805438362","살롱드현정","","S2","수리·개인","S207","이용·미용","S20701","미용실","S96112","두발 미용업","51","강원특별자치도","51130","원주시","51130675","반곡관설동","5113011600","관설동","5113011600117370003","1","대지",1737,3,"강원특별자치도 원주시 관설동 1737-3","511303219035","강원특별자치도 원주시 시청로",471,24,"4213011600117370003000002","","강원특별자치도 원주시 시청로 471-24","220934","26472","","1","",127.960891041849,37.3183999545757
"MA010120220805437849","한자루체험농원휴앤아크","","I2","음식","I212","비알코올 ","I21201","카페","I56221","커피 전문점","51","강원특별자치도","51810","인제군","51810330","기린면","5181033024","기린면","5181033024100680003","1","대지",68,3,"강원특별자치도 인제군 기린면 방동리 68-3","518103233009","강원특별자치도 인제군 기린면 방동약수로",68,,"4281033024100680003000001","","강원특별자치도 인제군 기린면 방동약수로 68","252841","24656","","","",128.388514120495,37.9467918366171
"MA010120220805437731","뽕마루","","I2","음식","I202","중식","I20201","중국집","I56121","중식 음식점업","51","강원특별자치도","51820","고성군","51820250","간성읍","5182025021","간성읍","5182025021100310007","1","대지",31,7,"강원특별자치도 고성군 간성읍 하리 31-7","518204502012","강원특별자치도 고성군 간성읍 간성로67번길",6,,"4282025021100270001001386","","강원특별자치도 고성군 간성읍 간성로67번길 6","219801","24729","","","",128.467121503733,38.3790572807214
"MA010120220805437203","인구시장","","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","51","강원특별자치도","51830","양양군","51830340","현남면","5183034021","현남면","5183034021106400001","1","대지",640,1,"강원특별자치도 양양군 현남면 인구리 640-1","518304505161","강원특별자치도 양양군 현남면 인구길",28,19,"4283034021106400001000001","","강원특별자치도 양양군 현남면 인구길 28-19","215842","25053","","","",128.76184076395,37.9680505146317
